"row","math_score","WEALTH","ST28Q01"
"377",544.747497368421,0.74,"11-25 books "
"378",284.098613157895,0.0700000000000001,"0-10 books "
"379",383.597626315789,2.31,"201-500 books "
"380",491.845347368421,0.75,"0-10 books "
"381",446.121715789474,1.89,"26-100 books "
"382",518.136531578947,1.92,"26-100 books "
"383",518.989268421053,1.12,"26-100 books "
"384",433.880102631579,1.12,"26-100 books "
"385",368.314052631579,0.71,"11-25 books "
"386",445.104992105263,0.88,"26-100 books "
"387",462.229326315789,5,"101-200 books "
"388",580.713915789474,1.89,"201-500 books "
"389",403.583528947368,2.44,"101-200 books "
"390",359.524360526316,1.27,"0-10 books "
"391",437.176228947368,3.29,"0-10 books "
"392",426.209602631579,1.51,"More than 500 books"
"393",336.148028947368,0.96,"0-10 books "
"394",527.992144736842,1.2,"26-100 books "
"395",360.135210526316,1.74,"11-25 books "
"396",486.905234210526,3.42,"101-200 books "
"397",437.213123684211,2.17,"26-100 books "
"398",417.633102631579,2.52,"More than 500 books"
"399",360.487784210526,0.38,"11-25 books "
"400",439.234247368421,1.76,"26-100 books "
"401",288.46475,0.47,"11-25 books "
"402",403.891,-0.97,"11-25 books "
"403",422.466607894737,3.1,"26-100 books "
"404",330.281405263158,1.42,"0-10 books "
"405",427.341121052632,1.94,"26-100 books "
"406",297.795610526316,0.69,"More than 500 books"
"407",550.9544,3.55,"101-200 books "
"408",367.490015789474,-0.24,"11-25 books "
"409",268.909313157895,2.31,"0-10 books "
"410",629.258118421053,2.92,"More than 500 books"
"411",480.292471052632,2.31,"0-10 books "
"412",378.534526315789,2.16,"26-100 books "
"413",335.213307894737,1.03,"0-10 books "
"414",541.258676315789,2.14,"201-500 books "
"415",482.768676315789,2.46,"26-100 books "
"416",571.354360526316,1.4,"11-25 books "
"417",563.942163157895,2.8,"More than 500 books"
"418",463.541215789474,1.89,"26-100 books "
"419",346.643192105263,0.94,"11-25 books "
"420",515.643936842105,1.39,"11-25 books "
"421",563.183731578947,2.78,"201-500 books "
"422",574.732494736842,2.08,"26-100 books "
"423",261.640605263158,-0.1,"11-25 books "
"424",575.408939473684,1.2,"0-10 books "
"425",546.0184,3.73,"101-200 books "
"426",437.959260526316,3,"101-200 books "
"427",497.18312368421,1.29,"0-10 books "
"428",403.136655263158,-0.61,"0-10 books "
"429",559.768694736842,3.18,"0-10 books "
"430",533.321726315789,1.58,"101-200 books "
"431",589.446221052632,1.83,"26-100 books "
"432",453.480615789474,2.05,"26-100 books "
"433",502.266707894737,1.16,"0-10 books "
"434",501.094207894737,1.48,"0-10 books "
"435",466.890644736842,3.78,"201-500 books "
"436",391.616592105263,1.61,"0-10 books "
"437",502.209310526316,2.43,"101-200 books "
"438",548.556089473684,2.13,"26-100 books "
"439",558.993855263158,2.91,"101-200 books "
"440",527.229613157895,1.61,"101-200 books "
"441",401.828857894737,1.58,"201-500 books "
"442",586.383765789474,2.16,"26-100 books "
"443",440.464157894737,2.51,"26-100 books "
"444",341.289023684211,-1.08,"0-10 books "
"445",259.611271052632,0.84,"11-25 books "
"446",460.240971052632,1.17,"0-10 books "
"447",573.424710526316,1.64,"0-10 books "
"448",373.623136842105,1.89,"11-25 books "
"449",419.43285,1.61,"201-500 books "
"450",727.834721052632,2.5,"More than 500 books"
"451",439.685228947368,1.78,"26-100 books "
"452",392.448807894737,0.97,"0-10 books "
"453",469.826007894737,3.5,"11-25 books "
"454",415.452068421053,2.27,"26-100 books "
"455",553.984068421053,0.88,"26-100 books "
"456",447.4295,2.03,"0-10 books "
"457",498.892681578947,0.65,"11-25 books "
"458",468.370628947368,1.32,"26-100 books "
"459",425.119092105263,3.18,"11-25 books "
"460",611.74842368421,2.14,"201-500 books "
"461",387.439021052632,1.04,"26-100 books "
"462",392.821889473684,3.42,"11-25 books "
"463",588.3844,0.42,"11-25 books "
"464",382.843273684211,1.27,"101-200 books "
"465",486.753547368421,3.42,"0-10 books "
"466",376.804463157895,2.15,"26-100 books "
"467",543.939868421053,2.01,"101-200 books "
"468",636.424352631579,2.78,"26-100 books "
"469",356.593078947368,2.81,"0-10 books "
"470",457.916463157895,2.44,"0-10 books "
"471",517.878255263158,1.39,"26-100 books "
"472",405.649752631579,0.97,"26-100 books "
"473",568.800257894737,3.42,"101-200 books "
"474",344.158781578947,2.3,"0-10 books "
"475",405.871144736842,0.8,"0-10 books "
"476",492.734976315789,2.07,"26-100 books "
"477",535.560126315789,1.58,"More than 500 books"
"478",520.420052631579,2.17,"201-500 books "
"479",494.600321052632,1.35,"26-100 books "
"480",435.241184210526,0.76,"0-10 books "
"481",515.119189473684,1.64,"26-100 books "
"482",455.796936842105,2.79,"201-500 books "
"483",539.622910526316,1.48,"101-200 books "
"484",519.341842105263,0.9,"201-500 books "
"485",612.74055,0.47,"11-25 books "
"486",494.292852631579,3.18,"More than 500 books"
"487",450.159884210526,1.9,"0-10 books "
"488",503.455613157895,1.76,"26-100 books "
"489",368.100884210526,0.75,"11-25 books "
"490",530.472452631579,2.92,"26-100 books "
"491",442.153226315789,1.76,"26-100 books "
"492",459.605526315789,3.2,"More than 500 books"
"493",454.956494736842,1.32,"26-100 books "
"494",350.406678947368,1.62,"26-100 books "
"495",440.952023684211,2.22,"11-25 books "
"496",282.056963157895,-2.04,"0-10 books "
"497",397.458610526316,2.05,"0-10 books "
"498",666.114171052632,1.77,"101-200 books "
"499",481.874947368421,1.64,"More than 500 books"
"500",393.030963157895,0.84,"101-200 books "
"501",399.446957894737,-0.04,"26-100 books "
"502",478.554205263158,1.88,"0-10 books "
"503",377.046344736842,-1.42,"0-10 books "
"504",381.514997368421,0.31,"0-10 books "
"505",283.364760526316,0.2,"0-10 books "
"506",377.587505263158,1.05,"11-25 books "
"507",465.681242105263,2.62,"0-10 books "
"508",669.508697368421,2.21,"More than 500 books"
"509",548.12562368421,2.59,"101-200 books "
"510",504.091065789474,1.32,"26-100 books "
"511",518.84577368421,0.97,"26-100 books "
"512",593.582776315789,2.78,"26-100 books "
"513",615.024071052632,2.99,"26-100 books "
"514",319.663255263158,0.97,"0-10 books "
"515",443.174044736842,1.63,"0-10 books "
"516",570.366342105263,2.92,"101-200 books "
"517",516.209686842105,3.44,"101-200 books "
"518",344.392473684211,3.24,"26-100 books "
"519",351.148734210526,2.85,"101-200 books "
"520",446.597271052632,2.22,"101-200 books "
"521",338.935797368421,0.67,"11-25 books "
"522",650.506723684211,2.44,"201-500 books "
"523",454.685926315789,1.1,"201-500 books "
"524",443.682410526316,1.58,"More than 500 books"
"525",538.954663157895,1.2,"0-10 books "
"526",440.472360526316,-0.04,"11-25 books "
"527",439.832821052632,-0.04,"0-10 books "
"528",523.584992105263,2.43,"0-10 books "
"529",341.80147631579,-0.74,"0-10 books "
"530",462.594189473684,2.13,"More than 500 books"
"531",365.1204,4.9,"11-25 books "
"532",594.431418421053,1.88,"26-100 books "
"533",426.176805263158,-0.04,"26-100 books "
"534",431.075921052632,1.16,"201-500 books "
"535",530.656939473684,2.32,"101-200 books "
"536",583.190118421053,2.96,"26-100 books "
"537",415.316778947368,1.96,"0-10 books "
"538",501.094218421053,3.18,"201-500 books "
"539",460.659139473684,1.2,"201-500 books "
"540",527.93885,3.2,"11-25 books "
"541",538.056842105263,1.83,"26-100 books "
"542",625.30605,0.75,"More than 500 books"
"543",581.980718421053,2.16,"More than 500 books"
"544",476.168197368421,2.14,"201-500 books "
"545",531.316976315789,2.46,"101-200 books "
"546",306.675489473684,-0.0299999999999998,"11-25 books "
"547",512.597881578947,2.18,"More than 500 books"
"548",437.848571052632,4.96,"26-100 books "
"549",302.911989473684,1.45,"11-25 books "
"550",749.870447368421,1.22,"201-500 books "
"551",664.314407894737,2.45,"101-200 books "
"552",286.865886842105,5.03,"26-100 books "
"553",439.303957894737,1.46,"11-25 books "
"554",545.177965789474,-0.5,"0-10 books "
"555",586.949518421053,1.87,"101-200 books "
"556",430.74385,2.45,"0-10 books "
"557",422.999557894737,2.16,"11-25 books "
"558",309.245984210526,-0.71,"0-10 books "
"559",544.845889473684,1.89,"26-100 books "
"560",363.152560526316,-1.09,"0-10 books "
"561",361.192918421053,1.16,"11-25 books "
"562",553.5413,0.2,"26-100 books "
"563",405.653855263158,2.73,"0-10 books "
"564",575.060460526316,3.26,"101-200 books "
"565",416.353997368421,2.53,"101-200 books "
"566",575.527828947368,1.81,"101-200 books "
"567",575.999294736842,3.33,"101-200 books "
"568",347.807497368421,1.33,"101-200 books "
"569",429.444252631579,1.78,"11-25 books "
"570",519.038457894737,0.75,"101-200 books "
"571",411.569684210526,-1.73,"0-10 books "
"572",507.641373684211,3.18,"201-500 books "
"573",449.9795,1.26,"26-100 books "
"574",357.203944736842,0.83,"26-100 books "
"575",435.433868421053,1.39,"0-10 books "
"576",349.238276315789,1.31,"11-25 books "
"577",447.347510526316,1.41,"101-200 books "
"578",483.564010526316,0.53,"11-25 books "
"579",274.83745,1.89,"26-100 books "
"580",468.440310526316,2.79,"101-200 books "
"581",416.345797368421,2.44,"101-200 books "
"582",410.614460526316,2.62,"101-200 books "
"583",515.336463157895,2.57,"26-100 books "
"584",520.797228947368,2,"11-25 books "
"585",596.755934210526,3.78,"26-100 books "
"586",536.257086842105,3.78,"201-500 books "
"587",575.117863157895,2.73,"101-200 books "
"588",365.181902631579,1.41,"26-100 books "
"589",661.502036842105,1.89,"More than 500 books"
"590",382.199634210526,1.36,"26-100 books "
"591",565.30735,3.97,"11-25 books "
"592",434.736921052632,1.81,"26-100 books "
"593",495.506352631579,2.28,"201-500 books "
"594",525.507744736842,2.21,"201-500 books "
"595",418.563715789474,0.91,"11-25 books "
"596",383.9092,1.44,"26-100 books "
"597",482.547292105263,1.63,"101-200 books "
"598",405.276689473684,1.86,"26-100 books "
"599",399.647836842105,2.57,"0-10 books "
"600",583.190107894737,2.48,"201-500 books "
"601",440.542060526316,1.36,"11-25 books "
"602",399.483855263158,1.96,"26-100 books "
"603",497.105221052632,3.7,"101-200 books "
"604",348.996402631579,1.95,"11-25 books "
"605",619.402521052632,2.31,"101-200 books "
"606",354.084084210526,0.3,"26-100 books "
"607",543.464305263158,1.37,"101-200 books "
"608",571.53885,1.87,"26-100 books "
"609",519.981384210526,1.16,"0-10 books "
"610",571.20267631579,2.44,"101-200 books "
"611",554.681007894737,2.45,"201-500 books "
"612",559.371034210526,1.73,"0-10 books "
"613",485.453957894737,2.23,"26-100 books "
"614",656.828415789474,3.2,"11-25 books "
"615",396.404992105263,2.45,"0-10 books "
"616",329.842742105263,0.05,"11-25 books "
"617",367.039055263158,3.83,"26-100 books "
"618",647.149092105263,-0.32,"26-100 books "
"619",428.829305263158,1.55,"0-10 books "
"620",479.119973684211,2.39,"26-100 books "
"621",685.767994736842,1.95,"More than 500 books"
"622",295.126715789474,-1.16,"0-10 books "
"623",449.606431578947,2.57,"201-500 books "
"624",622.920034210526,1.89,"201-500 books "
"625",401.095028947368,2.94,"101-200 books "
"626",589.815186842105,1.5,"26-100 books "
"627",474.651336842105,2.15,"26-100 books "
"628",573.535389473684,1.61,"101-200 books "
"629",457.293323684211,2.31,"26-100 books "
"630",323.033186842105,0.0700000000000001,"11-25 books "
